"Kod stacji ";"Nazwa stacji";"Rok";"Miesiąc";"Dzień";"Średnia dobowa temperatura";"Średnia dobowa wilgotność względna";"Średnia dobowa prędkość wiatru [m/s]";"Średnie dobowe zachmurzenie ogólne [oktanty]"
252200150;"WARSZAWA-BIELANY";2020;10;21;"10.5";"76.5";"2.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;10;22;"14.0";"73.8";"2.7";"3.7"
252200150;"WARSZAWA-BIELANY";2020;10;23;"13.2";"84.3";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;24;"13.1";"89.3";"3.3";"3.7"
252200150;"WARSZAWA-BIELANY";2020;10;25;"9.2";"92.3";"2.7";"1.3"
252200150;"WARSZAWA-BIELANY";2020;10;26;"12.9";"86.3";"2.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;10;27;"13.8";"82.5";"1.3";"7.0"
252200150;"WARSZAWA-BIELANY";2020;10;28;"10.5";"90.8";"1.7";"3.3"
252200150;"WARSZAWA-BIELANY";2020;10;29;"11.3";"81.3";"2.0";"7.0"
252200150;"WARSZAWA-BIELANY";2020;10;30;"8.7";"83.3";"2.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;10;31;"5.7";"96.3";"1.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;11;1;"5.6";"91.5";"2.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;11;2;"9.4";"95.8";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;3;"12.8";"95.8";"2.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;11;4;"8.5";"95.5";"2.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;11;5;"6.3";"88.3";"3.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;11;6;"8.4";"96.0";"3.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;11;7;"8.6";"93.8";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;8;"6.7";"91.5";"1.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;11;9;"7.1";"80.5";"1.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;11;10;"6.9";"72.5";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;11;"6.6";"76.8";"1.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;12;"5.8";"86.5";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;13;"6.4";"85.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;14;"6.8";"91.3";"1.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;11;15;"9.2";"88.8";"1.7";"4.7"
252200150;"WARSZAWA-BIELANY";2020;11;16;"6.6";"91.8";"2.3";"6.0"
252200150;"WARSZAWA-BIELANY";2020;11;17;"8.3";"88.5";"2.0";"4.7"
252200150;"WARSZAWA-BIELANY";2020;11;18;"8.9";"94.5";"2.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;11;19;"8.4";"83.8";"3.7";"5.0"
252200150;"WARSZAWA-BIELANY";2020;11;20;"3.8";"84.8";"2.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;11;21;"1.2";"92.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;11;22;"4.6";"78.0";"4.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;11;23;"6.5";"85.0";"4.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;11;24;"5.8";"84.0";"3.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;11;25;"2.8";"85.0";"1.3";"1.7"
252200150;"WARSZAWA-BIELANY";2020;11;26;"1.1";"86.3";"3.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;11;27;"5.1";"91.3";"2.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;11;28;"2.5";"91.0";"2.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;11;29;".8";"88.0";"2.0";"7.0"
252200150;"WARSZAWA-BIELANY";2020;11;30;".7";"87.8";"2.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;12;1;"-.4";"84.8";"3.0";"2.0"
252200150;"WARSZAWA-BIELANY";2020;12;2;"-1.8";"82.5";"3.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;12;3;"-.3";"83.0";"4.0";"4.7"
252200150;"WARSZAWA-BIELANY";2020;12;4;"2.7";"82.3";"5.0";"3.7"
252200150;"WARSZAWA-BIELANY";2020;12;5;"7.4";"76.5";"5.0";"1.7"
252200150;"WARSZAWA-BIELANY";2020;12;6;"5.5";"84.0";"6.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;7;"1.2";"80.5";"7.0";"3.7"
252200150;"WARSZAWA-BIELANY";2020;12;8;"-.9";"79.3";"6.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;9;"-1.6";"82.3";"5.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;10;"-1.1";"83.3";"4.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;11;"1.4";"96.0";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;12;"2.2";"95.0";"4.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;13;"1.5";"94.5";"2.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;14;"1.4";"91.8";"1.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;12;15;"1.3";"93.3";"3.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;12;16;"3.3";"90.5";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;17;"4.9";"92.8";"3.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;18;"4.6";"94.0";"2.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;12;19;"1.8";"97.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;20;"2.0";"98.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;21;"2.3";"91.5";"3.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;22;"4.0";"91.5";"3.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;23;"4.8";"87.0";"2.3";"3.7"
252200150;"WARSZAWA-BIELANY";2020;12;24;"6.4";"90.8";"3.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;12;25;"3.8";"87.0";"3.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;26;"1.1";"86.0";"3.0";"7.0"
252200150;"WARSZAWA-BIELANY";2020;12;27;"-.8";"76.3";"5.0";"1.0"
252200150;"WARSZAWA-BIELANY";2020;12;28;"4.0";"82.0";"5.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;12;29;"6.0";"79.3";"3.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;12;30;"4.4";"92.5";"1.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;12;31;"1.4";"99.5";"1.3";"8.0"
